method,precision,recall,f1,true_positives,false_alarms,missed_anomalies
EWMA (alpha=0.1),0.18288590604026847,0.04805996472663139,0.07611731843575419,109,487,2159
3-sigma (original),0.11586638830897704,0.04894179894179894,0.06881587104773713,111,847,2157
3-sigma (log transform),0.10946745562130178,0.04894179894179894,0.06764168190127971,111,903,2157
Univariate IF (aligned v1),0.7368421052631579,0.3684210526315789,0.49122807017543857,70,25,120
Multivariate IF (v1+v2),0.7368421052631579,0.13861386138613863,0.23333333333333334,70,25,435
